TIME SIGNATURE,COUNT,,TIME SIGNATURE,COUNT
"""5/32""",7,,"""5/32""",7
"""26/1""",7,,"""26/1""",7
"""20/32""",7,,"""20/32""",7
"""4/32""",7,,"""4/32""",7
"""18/1""",7,,"""18/1""",7
"""49/16""",7,,"""49/16""",7
"""25/1""",6,,"""25/1""",6
"""12/32""",6,,"""12/32""",6
"""13/2""",6,,"""13/2""",6
"""8/32""",6,,"""8/32""",6
"""26/16""",6,,"""26/16""",6
"""15/2""",6,,"""15/2""",6
"""24/2""",6,,"""24/2""",6
"""20/1""",6,,"""20/1""",6
"""35/8""",6,,"""35/8""",6
"""36/8""",6,,"""36/8""",6
"""33/16""",5,,"""33/16""",5
"""41/8""",5,,"""41/8""",5
"""22/1""",5,,"""22/1""",5
"""6/32""",5,,"""6/32""",5
"""16/32""",5,,"""16/32""",5
"""36/32""",5,,"""36/32""",5
"""17/1""",5,,"""17/1""",5
"""130/4""",5,,"""130/4""",5
"""48/32""",5,,"""48/32""",5
"""28/1""",5,,"""28/1""",5
"""39/16""",4,,"""39/16""",4
"""38/4""",4,,"""38/4""",4
"""99/32""",4,,"""99/32""",4
"""131/4""",4,,"""131/4""",4
"""39/8""",4,,"""39/8""",4
"""68/4""",4,,"""68/4""",4
"""41/16""",4,,"""41/16""",4
"""93/32""",4,,"""93/32""",4
"""30/32""",4,,"""30/32""",4
"""45/8""",4,,"""45/8""",4
"""7/32""",4,,"""7/32""",4
"""34/8""",4,,"""34/8""",4
"""36/4""",4,,"""36/4""",4
"""21/2""",4,,"""21/2""",4
"""29/1""",4,,"""29/1""",4
"""252/8""",3,,"""252/8""",3
"""2/32""",3,,"""2/32""",3
"""2/64""",3,,"""2/64""",3
"""27/1""",3,,"""27/1""",3
"""34/32""",3,,"""34/32""",3
"""42/8""",3,,"""42/8""",3
"""43/8""",3,,"""43/8""",3
"""46/4""",3,,"""46/4""",3
"""54/4""",3,,"""54/4""",3
"""44/4""",3,,"""44/4""",3
"""43/16""",3,,"""43/16""",3
"""40/16""",3,,"""40/16""",3
"""54/8""",3,,"""54/8""",3
"""65/16""",3,,"""65/16""",3
"""44/32""",3,,"""44/32""",3
"""24/1""",3,,"""24/1""",3
"""51/8""",3,,"""51/8""",3
"""149/4""",3,,"""149/4""",3
"""20/2""",3,,"""20/2""",3
"""174/32""",3,,"""174/32""",3
"""17/2""",3,,"""17/2""",3
"""75/8""",3,,"""75/8""",3
"""25/2""",2,,"""25/2""",2
"""39/4""",2,,"""39/4""",2
"""50/4""",2,,"""50/4""",2
"""53/8""",2,,"""53/8""",2
"""10/32""",2,,"""10/32""",2
"""18/32""",2,,"""18/32""",2
"""34/4""",2,,"""34/4""",2
"""62/4""",2,,"""62/4""",2
"""72/4""",2,,"""72/4""",2
"""49/8""",2,,"""49/8""",2
"""140/8""",2,,"""140/8""",2
"""40/4""",2,,"""40/4""",2
"""48/4""",2,,"""48/4""",2
"""22/32""",2,,"""22/32""",2
"""37/4""",2,,"""37/4""",2
"""28/2""",2,,"""28/2""",2
"""30/2""",2,,"""30/2""",2
"""0/8""",2,,"""0/8""",2
"""133/4""",2,,"""133/4""",2
"""26/32""",2,,"""26/32""",2
"""48/8""",2,,"""48/8""",2
"""72/8""",2,,"""72/8""",2
"""47/32""",2,,"""47/32""",2
"""35/16""",2,,"""35/16""",2
"""66/4""",2,,"""66/4""",2
"""40/8""",2,,"""40/8""",2
"""45/16""",2,,"""45/16""",2
"""21/1""",2,,"""21/1""",2
"""41/32""",2,,"""41/32""",2
"""64/32""",2,,"""64/32""",2
"""47/16""",2,,"""47/16""",2
"""73/32""",2,,"""73/32""",2
"""248/4""",2,,"""248/4""",2
"""45/4""",2,,"""45/4""",2
"""38/8""",2,,"""38/8""",2
"""134/8""",1,,"""134/8""",1
"""59/32""",1,,"""59/32""",1
"""40/2""",1,,"""40/2""",1
"""74/2""",1,,"""74/2""",1
"""88/4""",1,,"""88/4""",1
"""59/16""",1,,"""59/16""",1
"""79/16""",1,,"""79/16""",1
"""71/32""",1,,"""71/32""",1
"""61/16""",1,,"""61/16""",1
"""65/32""",1,,"""65/32""",1
"""241/4""",1,,"""241/4""",1
"""31/4""",1,,"""31/4""",1
"""89/4""",1,,"""89/4""",1
"""47/4""",1,,"""47/4""",1
"""59/4""",1,,"""59/4""",1
"""32/2""",1,,"""32/2""",1
"""19/2""",1,,"""19/2""",1
"""60/8""",1,,"""60/8""",1
"""90/8""",1,,"""90/8""",1
"""108/8""",1,,"""108/8""",1
"""114/8""",1,,"""114/8""",1
"""120/8""",1,,"""120/8""",1
"""64/4""",1,,"""64/4""",1
"""31/2""",1,,"""31/2""",1
"""33/4""",1,,"""33/4""",1
"""41/4""",1,,"""41/4""",1
"""55/16""",1,,"""55/16""",1
"""57/16""",1,,"""57/16""",1
"""4/64""",1,,"""4/64""",1
"""27/2""",1,,"""27/2""",1
"""36/2""",1,,"""36/2""",1
"""17/64""",1,,"""17/64""",1
"""18/64""",1,,"""18/64""",1
"""22/64""",1,,"""22/64""",1
"""67/16""",1,,"""67/16""",1
"""57/8""",1,,"""57/8""",1
"""21/64""",1,,"""21/64""",1
"""96/32""",1,,"""96/32""",1
"""86/32""",1,,"""86/32""",1
"""23/1""",1,,"""23/1""",1
"""38/16""",1,,"""38/16""",1
"""56/16""",1,,"""56/16""",1
"""56/32""",1,,"""56/32""",1
"""62/32""",1,,"""62/32""",1
"""89/32""",1,,"""89/32""",1
"""87/8""",1,,"""87/8""",1
"""42/4""",1,,"""42/4""",1
"""4/128""",1,,"""4/128""",1
"""137/32""",1,,"""137/32""",1
"""35/4""",1,,"""35/4""",1
"""249/8""",1,,"""249/8""",1
"""36/16""",1,,"""36/16""",1
"""42/16""",1,,"""42/16""",1
"""63/16""",1,,"""63/16""",1
"""69/16""",1,,"""69/16""",1
"""135/4""",1,,"""135/4""",1
"""1/64""",1,,"""1/64""",1
"""47/8""",1,,"""47/8""",1
"""103/16""",1,,"""103/16""",1
"""169/32""",1,,"""169/32""",1
"""34/2""",1,,"""34/2""",1
"""71/16""",1,,"""71/16""",1
"""141/32""",1,,"""141/32""",1
"""63/8""",1,,"""63/8""",1
"""69/8""",1,,"""69/8""",1
"""121/8""",1,,"""121/8""",1
"""91/16""",1,,"""91/16""",1
,546098,,,546098
